Aba | ♂ | Török eredetű régi magyar személynév | apa | „rendkívül ritka” → „nagyon ritka”
Agamemnon | ♂ | Görög mitológiai név | ? túlságosan óvatos ; megfontolt | „néhány előfordulás” → „rendkívül ritka”
Agapion | ♂ | Valószínűleg a latin Agapius névből származik | szeretett | „néhány előfordulás” → „néhány előfordulás”
Agaton | ♂ | Görög eredetű név | jó | „néhány előfordulás” → „néhány előfordulás”
Agenor | ♂ | Görög eredetű név | bátor | „néhány előfordulás” → „néhány előfordulás”
Aggeus | ♂ | Héber eredetű bibliai név | ünnepen született | „néhány előfordulás” → „néhány előfordulás”
Agmánd | ♂ | Ismeretlen eredetű régi magyar név | | „néhány előfordulás” → „rendkívül ritka”
Ágost | ♂ | A latin Augustus névből való | magasztos ; fennkölt | „rendkívül ritka” → „nagyon ritka”
Ágoston | ♂ | A latin Augustus név kicsinyítőképzős származéka | magasztos ; fennkölt | „elég ritka” → „elég ritka”
Ahillész | ♂ | Az Achillesz ‣ alakváltozata | | „néhány előfordulás” → „néhány előfordulás”
Áhim | ♂ | A Joachim ‣ önállósult rövidülése | | „rendkívül ritka” → „nagyon ritka”
Ahmed | ♂ | Arab eredetű név | dicséretreméltó | „nagyon ritka” → „nagyon ritka”
Airton | ♂ | Bizonytalan eredetű | ismeretlen | „néhány előfordulás” → „néhány előfordulás”
Ajád | ♂ | Ismeretlen eredetű régi magyar név | ? szájacska | „néhány előfordulás” → „néhány előfordulás”
Ajándok | ♂ | Régi magyar név | | „néhány előfordulás” → „néhány előfordulás”
Ajtony | ♂ | Török eredetű régi magyar név | arany | „rendkívül ritka” → „nagyon ritka”
Akács | ♂ | A latinosított görög Achatius régi magyar alakja | achát ( féldrágakő ) | „néhány előfordulás” → „néhány előfordulás”
Ákos | ♂ | Török eredetű régi magyar név | fehér sólyom | „nagyon gyakori” → „nagyon gyakori”
Aladár | ♂ | Germán eredetű név | öreg ; tapasztalt + híres ; hatalmas | „elég ritka” → „nagyon ritka”
Aladdin | ♂ | Az Ezeregyéjszaka c . arab mesegyűjteményből ismert | | „néhány előfordulás” → „néhány előfordulás”
Aladin | ♂ | Germán eredetű név | kis öreg | „néhány előfordulás” → „néhány előfordulás”
Alajos | ♂ | A germán eredetű Alois , Alwis név magyar alakvált . | egész + bölcs | „elég ritka” → „nagyon ritka”
Alán | ♂ | Kelta eredetű angol névből származik | | „néhány előfordulás” → „néhány előfordulás”
Alap | ♂ | Török eredetű régi magyar név | hős ; dalia | „néhány előfordulás” → „néhány előfordulás”
Alárd | ♂ | Germán eredetű név | nemes + kemény | „néhány előfordulás” → „néhány előfordulás”
Alarik | ♂ | Germán eredetű | nemes uralkodó | „néhány előfordulás” → „néhány előfordulás”
Albert | ♂ | A germán Adalbert ‣ név rövidülése | | „közepesen gyakori” → „elég ritka”
Albin | ♂ | A latin Albinus családnévből ered | fehér | „nagyon ritka” → „nagyon ritka”
Aldán | ♂ | Az északi germán Haldan névből szárm . | hős | „néhány előfordulás” → „rendkívül ritka”
Áldás | ♂ | A név női párja az Áldáska ‣ megtalálható az adható nevek között . | | „néhány előfordulás” → „néhány előfordulás”
Aldó | ♂ | Germán eredetű olasz név | öreg ; tapasztalt | „néhány előfordulás” → „néhány előfordulás”
Áldor | ♂ | Germán eredetű magyar név | öreg ; tapasztalt + hatalmas | „néhány előfordulás” → „néhány előfordulás”
Alek | ♂ | Alexander ‣ angol rövidült alakváltozata | férfiakat ; vagy férfiaktól megvédő | „néhány előfordulás” → „néhány előfordulás”
Alen | ♂ | Kelta eredetű francia és angol névből való | | „nagyon ritka” → „nagyon ritka”
Alex | ♂ | A görög Alexisz , Alexiosz névnek ill . Alexander ‣ névnek a rövidülése | védő | „közepesen gyakori” → „nagyon gyakori”
Alexander | ♂ | A görög Alexandrosz név latin formája | férfiakat ; vagy férfiaktól megvédő | „elég ritka” → „közepesen gyakori”
Alfonz | ♂ | Germán eredetű név | nemes + kész ; hajlandó | „nagyon ritka” → „rendkívül ritka”
Alfréd | ♂ | Germán eredetű név | tündér + tanács | „elég ritka” → „nagyon ritka”
Algernon | ♂ | Francia ill . normann eredetű angol név | ? szakállas v . bajuszos | „néhány előfordulás” → „néhány előfordulás”
Ali | ♂ | Arab eredetű név | fenséges ; fennkölt | „nagyon ritka” → „nagyon ritka”
Almár | ♂ | A germán Adalmar , Adelmar névből rövidült | nemes + híres | „néhány előfordulás” → „néhány előfordulás”
Álmos | ♂ | Török eredetű régi magyar név | megvett ; megvásárolt | „elég ritka” → „elég ritka”
Alpár | ♂ | Török személynévből származó régi magyar név | hős férfi | „nagyon ritka” → „néhány előfordulás”
Alvián | ♂ | Az Alvin ‣ alakváltozata | | „néhány előfordulás” → „néhány előfordulás”
Alvin | ♂ | Germán eredetű angol ill . német név | nemes ( vagy : tündér ) + barát | „néhány előfordulás” → „néhány előfordulás”
Amadé | ♂ | Az Amadeusz ‣ francia eredetű alakváltozata | | „rendkívül ritka” → „néhány előfordulás”
Amadeusz | ♂ | Latin eredetű | szeresd az Istent | „néhány előfordulás” → „rendkívül ritka”
Amadó | ♂ | Amadeusz ‣ spanyol és olasz alakváltozata | szeresd az Istent | „néhány előfordulás” → „néhány előfordulás”
Amand | ♂ | A latin Amandus rövidülése | szeretetreméltó | „néhány előfordulás” → „néhány előfordulás”
Amator | ♂ | Latin eredetű | kedvelője , barátja valakinek | „néhány előfordulás” → „néhány előfordulás”
Ambos | ♂ | Az Ambrus ‣ névnek a régi magyar becéző formája | | „néhány előfordulás” → „néhány előfordulás”
Ambró | ♂ | Az Ambrus ‣ névnek a régi magyar becéző formája | | „néhány előfordulás” → „néhány előfordulás”
Ambrus | ♂ | A görög Ambrosziosz név rövidüléséből | halhatatlan | „elég ritka” → „elég ritka”
Ámer | ♂ | Héber és arab eredetű | vezető ; uralkodó ; fa teteje ; gabona kéve | „néhány előfordulás” → „néhány előfordulás”
Amin | ♂ | arab eredetű | megbízható | „rendkívül ritka” → „rendkívül ritka”
Amir | ♂ | Héber és arab eredetű | vezető ; uralkodó ; fa teteje ; gabona kéve | „nagyon ritka” → „nagyon ritka”
Ámon | ♂ | Az Ammon egyiptomi istenség nevéből van | rejtett ; elrejtőzött | „rendkívül ritka” → „rendkívül ritka”
Amondó | ♂ | A név feltehetőleg a latin eredetű Amadeusz ‣ ' szeresd az Istent !' jelentésű név alakváltozata | | „néhány előfordulás” → „néhány előfordulás”
Ámor | ♂ | Latin eredetű név | | „néhány előfordulás” → „néhány előfordulás”
Ámos | ♂ | Héber eredetű bibliai név | ( Isten által ) vitt , hordozott ; terhet vivő | „néhány előfordulás” → „néhány előfordulás”
Anakin | ♂ | Irodalmi névalkotás , A Csillagok háborúja központ figurájának neve . | | „néhány előfordulás” → „rendkívül ritka”
Anasztáz | ♂ | Görög eredetű név | feltámadott | „néhány előfordulás” → „néhány előfordulás”
Anatol | ♂ | Görög eredetű név | napkeleti országból való | „néhány előfordulás” → „néhány előfordulás”
Andon | ♂ | Antal ‣ alakváltozata ; András ‣ alakváltozata | | „néhány előfordulás” → „néhány előfordulás”
Andor | ♂ | Az András ‣ régi magyar formájának ; az Andorjásnak a rövidülése | férfiak legyőzője | „közepesen gyakori” → „elég ritka”
Andorás | ♂ | Az András ‣ régi magyar formájának , az Andorjásnak az alakváltozata | férfias | „néhány előfordulás” → „néhány előfordulás”
Andos | ♂ | Az András ‣ régi magyar becéző formája | | „néhány előfordulás” → „néhány előfordulás”
András | ♂ | A görög eredetű latin Andreas névből szárm . | férfias | „rendkívül gyakori” → „nagyon gyakori”
André | ♂ | Az Andreas francia alakváltozata | | „nagyon ritka” → „nagyon ritka”
Andrej | ♂ | Az András ‣ szláv alakváltozata | férfias | „nagyon ritka” → „nagyon ritka”
Andzseló | ♂ | Angelusz ‣ olasz alakváltozata . | Isten követe ; angyal | „rendkívül ritka” → „nagyon ritka”
Angelus | ♂ | Az Angelusz ‣ névnek a magyar ejtésváltozata | Isten követe ; angyal | „néhány előfordulás” → „néhány előfordulás”
Angelusz | ♂ | Görög eredetű latin név | Isten követe ; angyal | „néhány előfordulás” → „néhány előfordulás”
Ángyán | ♂ | A görög eredetű latin Anianus név rövidült és megmagyarosodott formája | ? bántó ; zsarnoki | „néhány előfordulás” → „néhány előfordulás”
Anicét | ♂ | A görög eredetű latin Anicetus rövidülése | legyőzhetetlen | „néhány előfordulás” → „néhány előfordulás”
Aníziusz | ♂ | Latinosított ; görög eredetű név | ? beteljesedés ; megvalósulás | „néhány előfordulás” → „néhány előfordulás”
Antal | ♂ | Latin eredetű név | ismeretlen | „nagyon gyakori” → „elég ritka”
Antigon | ♂ | A görög eredetű latin Antigonus rövidülése | ? ellenkező ; makacsnak született | „néhány előfordulás” → „néhány előfordulás”
Anton | ♂ | Az Antal ‣ név német , svéd , dán , orosz megfelelője | ismeretlen | „nagyon ritka” → „nagyon ritka”
Antónió | ♂ | Anton ‣ spanyol és olasz alakváltozata . | ismeretlen | „nagyon ritka” → „nagyon ritka”
Antos | ♂ | Az Antal ‣ régi magyar becézőjéből önállósult | ismeretlen | „néhány előfordulás” → „néhány előfordulás”
Anzelm | ♂ | Germán eredetű név | istenség + ( védő)sisak | „rendkívül ritka” → „rendkívül ritka”
Ányos | ♂ | A görög eredetű latin Anianus név megmagyarosodott formája | ? bántó ; zsarnoki | „néhány előfordulás” → „nagyon ritka”
Apaj | ♂ | Régi magyar személynév . | apácska | „néhány előfordulás” → „néhány előfordulás”
Apollinár | ♂ | A görög eredetű latin Apollinaris név rövidülése | Apolló ‣ istenhez tartozó ; neki szentelt | „néhány előfordulás” → „néhány előfordulás”
Apolló | ♂ | A görög Apollón név latin Apollo változatából való | | „néhány előfordulás” → „nagyon ritka”
Apor | ♂ | Régi magyar személynév | apácska | „rendkívül ritka” → „nagyon ritka”
Apostol | ♂ | Görög eredetű név | követ ; küldött ; apostol | „néhány előfordulás” → „néhány előfordulás”
Apród | ♂ | Régi magyar név | kicsike ; gyermek | „néhány előfordulás” → „néhány előfordulás”
Aracs | ♂ | Régi magyar személynév | szántó | „néhány előfordulás” → „néhány előfordulás”
Arad | ♂ | Régi magyar személynév | | „néhány előfordulás” → „néhány előfordulás”
Aramisz | ♂ | Dumas írói névalkotása A három testőr c . regényben | | „néhány előfordulás” → „rendkívül ritka”
Archibald | ♂ | Germán eredetű név | valódi ; igaz + merész | „néhány előfordulás” → „néhány előfordulás”
Ardó | ♂ | Régi magyar név | | „néhány előfordulás” → „néhány előfordulás”
Árész | ♂ | Görög eredetű mitológiai név . | | „néhány előfordulás” → „néhány előfordulás”
Arétász | ♂ | Arab eredetű görög név | fémműves | „néhány előfordulás” → „néhány előfordulás”
Arián | ♂ | A görög eredetű latin Arianus névből szárm . | Arianából való ( férfi ) | „rendkívül ritka” → „rendkívül ritka”
Ariel | ♂ | Héber eredetű bibliai személy - és nemzetségnév | Isten oroszlánja | „nagyon ritka” → „nagyon ritka”
Arion | ♂ | Ünnepelt ókori görög költő és zeneszerző neve | a gyors ; az erős | „néhány előfordulás” → „rendkívül ritka”
Árisz | ♂ | Az olasz Aris név , melyből szárm . ; több görög eredetű név rövidülése | | „néhány előfordulás” → „nagyon ritka”
Arisztid | ♂ | A görög eredetű Aristides név rövidülése | nemes származású | „néhány előfordulás” → „rendkívül ritka”
Ariton | ♂ | -- | | „néhány előfordulás” → „néhány előfordulás”
Arkád | ♂ | Görög eredetű név | Árkádiából való ( férfi ) | „néhány előfordulás” → „néhány előfordulás”
Árkád | ♂ | Az Arkád ‣ alakváltozata | | „néhány előfordulás” → „néhány előfordulás”
Árkos | ♂ | Régi magyar személynév | | „néhány előfordulás” → „néhány előfordulás”
Arlen | ♂ | női név | | „néhány előfordulás” → „nagyon ritka”
Árlen | ♂ | -- | | „néhány előfordulás” → „nagyon ritka”
Armand | ♂ | A Herman ‣ francia megfelelője | ( had)sereg + férfi | „elég ritka” → „elég ritka”
Armandó | ♂ | Herman ‣ francia és spanyol alakváltozata | ( had)sereg + férfi | „nagyon ritka” → „elég ritka”
Ármin | ♂ | A germán keruszkuszok latin Arminius nevéből rövidült | | „elég ritka” → „közepesen gyakori”
Arnó | ♂ | Az Arnold ‣ név német rövidülése | | „néhány előfordulás” → „néhány előfordulás”
Arnold | ♂ | Germán eredetű név | sas + uralkodó ; tevékeny | „közepesen gyakori” → „elég ritka”
Arnót | ♂ | Az Arnold ‣ név régi magyar alakváltozata | | „néhány előfordulás” → „néhány előfordulás”
Áron | ♂ | Bibliai név ; talán héber eredetű | ihletett ; tisztánlátó ; vagy : a bátorság hegye | „közepesen gyakori” → „rendkívül gyakori”
Árpád | ♂ | Régi magyar név | | „nagyon gyakori” → „elég ritka”
Arszák | ♂ | Iráni eredetű örmény név | medve | „néhány előfordulás” → „néhány előfordulás”
Árszen | ♂ | Arzén ‣ alakváltozata | erőteljes ; férfias | „néhány előfordulás” → „néhány előfordulás”
Arszlán | ♂ | Török eredetű régi magyar név | oroszlán | „néhány előfordulás” → „néhány előfordulás”
Artemon | ♂ | Görög eredetű név | ép ; egészséges | „néhány előfordulás” → „néhány előfordulás”
Artúr | ♂ | Valószínűleg egy kelta eredetű angol névből szárm . | ? medve | „elég ritka” → „elég ritka”
Arvéd | ♂ | Az Arvid ‣ svéd eredetű alakváltozata | | „néhány előfordulás” → „néhány előfordulás”
Arvid | ♂ | Norvég név | sas + férfi ( vagy : sas + vihar ) | „néhány előfordulás” → „néhány előfordulás”
Arzén | ♂ | Görög eredetű név | erőteljes ; férfias | „rendkívül ritka” → „rendkívül ritka”
Aser | ♂ | A bibliai Áser ‣ névből ; a tizenkét pátriárka egyikének a nevéből való | héber boldognak lenni jelentésű szóval függ össze | „néhány előfordulás” → „néhány előfordulás”
Áser | ♂ | Aser ‣ alakváltozata | héber boldognak lenni jelentésű szóval függ össze | „néhány előfordulás” → „rendkívül ritka”
Ashraf | ♂ | Arab eredetű | kiváló ember | „néhány előfordulás” → „néhány előfordulás”
Asur | ♂ | Héber eredetű | feketeség ; szabad férfi | „néhány előfordulás” → „néhány előfordulás”
Aszáf | ♂ | ősi héber eredetű név | gyűjtő | „néhány előfordulás” → „néhány előfordulás”
Aszter | ♂ | Görög eredetű név | csillag | „néhány előfordulás” → „néhány előfordulás”
Asztrik | ♂ | Germán eredetű név | kőrisdárda + hatalmas ; uralkodó | „rendkívül ritka” → „nagyon ritka”
Ata | ♂ | Török eredetű régi magyar név | apa | „néhány előfordulás” → „néhány előfordulás”
Atád | ♂ | Régi magyar név | apácska | „néhány előfordulás” → „néhány előfordulás”
Atakám | ♂ | Török eredetű , régi magyar név | apa + sámán | „néhány előfordulás” → „néhány előfordulás”
Atanáz | ♂ | Görög eredetű név | halhatatlan | „néhány előfordulás” → „rendkívül ritka”
Atilla | ♂ | Az Attila ‣ névnek a kiejtést tükröző írásváltozata | | „nagyon ritka” → „nagyon ritka”
Atlasz | ♂ | Görög mitológiai név | szenvedő ; tűrő | „néhány előfordulás” → „néhány előfordulás”
Aton | ♂ | Egyiptomi mitológiai név | napisten | „néhány előfordulás” → „néhány előfordulás”
Atos | ♂ | Régi magyar név | | „néhány előfordulás” → „néhány előfordulás”
Atosz | ♂ | Dumas írói névalkotása A három testőr c . regényben | | „néhány előfordulás” → „rendkívül ritka”
Attila | ♂ | A hun fejedelem germán , közelebbről gót eredetű neve | atyácska | „első tízben” → „nagyon gyakori”
Augusztusz | ♂ | Latin eredetű név | magasztos ; fennkölt | „néhány előfordulás” → „néhány előfordulás”
Aurél | ♂ | Latin eredetű név | aranyos | „elég ritka” → „elég ritka”
Aurélián | ♂ | Latin eredetű név | az Aurelius nemzetséghez tartozó férfi | „néhány előfordulás” → „néhány előfordulás”
Avenár | ♂ | Talán héber eredetű | az atya fény ; szövétnek | „néhány előfordulás” → „rendkívül ritka”
Axel | ♂ | Az Absolon ‣ név dán és svéd rövidülése | | „nagyon ritka” → „nagyon ritka”
Azár | ♂ | Héber eredetű bibliai név ( Azarja , Azariás ) rövidülése | Jahve segített | „néhány előfordulás” → „néhány előfordulás”
Azim | ♂ | Arab eredetű | őrző + megtartó | „néhány előfordulás” → „rendkívül ritka”
Bács | ♂ | Régi magyar személynév | kis uraság | „néhány előfordulás” → „néhány előfordulás”
Bacsó | ♂ | Régi magyar személynév | | „néhány előfordulás” → „néhány előfordulás”
Bagamér | ♂ | A szláv Bogumir név Árpád-kori magyar alakja | Isten + béke | „néhány előfordulás” → „néhány előfordulás”
Baján | ♂ | Török eredetű régi magyar személynév | gazdag ; bő | „rendkívül ritka” → „nagyon ritka”
Bajnok | ♂ | Régi magyar személynév | bajvívó ; harcos | „néhány előfordulás” → „rendkívül ritka”
Bakács | ♂ | Régi magyar személynév | | „néhány előfordulás” → „néhány előfordulás”
Baksa | ♂ | Régi magyar személynév | | „néhány előfordulás” → „néhány előfordulás”
Bakta | ♂ | Régi magyar személynév . | ismeretlen | „néhány előfordulás” → „néhány előfordulás”
Balabán | ♂ | Valószínűleg török eredetű régi magyar személynév | nagy ; hatalmas | „néhány előfordulás” → „néhány előfordulás”
Baladéva | ♂ | Szanszkrit eredetű . | fiatal isten | „néhány előfordulás” → „néhány előfordulás”
Balambér | ♂ | Hun uralkodónak a neve | merész + híres | „néhány előfordulás” → „nagyon ritka”
Balár | ♂ | Régi magyar személynév | kicsiny ; fióka | „néhány előfordulás” → „néhány előfordulás”
Balassa | ♂ | Régi magyar személynév a Balázs ‣ névből . | ismeretlen | „néhány előfordulás” → „néhány előfordulás”
Balázs | ♂ | Az ismeretlen eredetű latin Blasio családnévből származik | ismeretlen | „rendkívül gyakori” → „első tízben”
Baldó | ♂ | Német eredetű név | merész | „néhány előfordulás” → „nagyon ritka”
Baldvin | ♂ | Germán eredetű név | merész + barát | „néhány előfordulás” → „néhány előfordulás”
Bálint | ♂ | A latin Valentinus családnévből származik | erős ; egészséges | „nagyon gyakori” → „rendkívül gyakori”
Balló | ♂ | A Barnabás ‣ név régi magyar Ballabás alakváltozatának a becéző rövidülése | | „néhány előfordulás” → „néhány előfordulás”
Balmaz | ♂ | Török , közelebbről valószínűleg kun eredetű régi magyar személynév | nem élő ; nem lévő | „néhány előfordulás” → „néhány előfordulás”
Baltazár | ♂ | Babilóniai , akkád eredetű bibliai név | Baál ( isten ) tartsa meg a királyt ! | „néhány előfordulás” → „nagyon ritka”
Bán | ♂ | Régi magyar személynév | | „néhány előfordulás” → „rendkívül ritka”
Bandó | ♂ | Az András ‣ név önállósult becézője | | „néhány előfordulás” → „néhány előfordulás”
Bánk | ♂ | Régi magyar személynév | | „nagyon ritka” → „elég ritka”
Bános | ♂ | Régi magyar személynév | | „néhány előfordulás” → „néhány előfordulás”
Barabás | ♂ | Arameus eredetű bibliai név | apa fia | „rendkívül ritka” → „nagyon ritka”
Baracs | ♂ | Régi magyar személynév | megy ; jár | „néhány előfordulás” → „néhány előfordulás”
Barakony | ♂ | Tisztázatlan eredetű régi magyar személynév | | „néhány előfordulás” → „néhány előfordulás”
Barangó | ♂ | Bizonytalan eredetű régi magyar név | ismeretlen | „néhány előfordulás” → „néhány előfordulás”
Bardó | ♂ | Német eredetű név | csatabárd + farkas | „néhány előfordulás” → „néhány előfordulás”
Barlám | ♂ | Egy középkori regény hősének a görög eredetű nevéből származik | | „néhány előfordulás” → „néhány előfordulás”
Barna | ♂ | A Barnabás ‣ magyar rövidülése | | „közepesen gyakori” → „közepesen gyakori”
Barnabás | ♂ | Arameus eredetű bibliai név | a vigasztalás fia ; ( Más feltevések szerint : a prófétálás fia vagy Nebo fia .) | „közepesen gyakori” → „nagyon gyakori”
Barót | ♂ | Bizonytalan eredetű régi magyar személynév | medve + parancsoló ; úr | „néhány előfordulás” → „néhány előfordulás”
Bars | ♂ | A régi magyar Bors ‣ személynév alakváltozata | | „néhány előfordulás” → „néhány előfordulás”
Barsz | ♂ | Török eredetű régi magyar személynév | párduc | „néhány előfordulás” → „néhány előfordulás”
Barta | ♂ | A Bertalan ‣ név régi magyar Bartalom formájának a rövidülése | | „néhány előfordulás” → „néhány előfordulás”
Bartal | ♂ | A Bertalan ‣ név régi magyar Bartalom formájának a rövidülése | | „néhány előfordulás” → „néhány előfordulás”
Bartó | ♂ | A Bertalan ‣ név régi magyar Bartalom formájának - ó kicsinyítőképzős rövidülése | | „néhány előfordulás” → „néhány előfordulás”
Barton | ♂ | Angol eredetű helynévből . | árpát termő ( település ) | „néhány előfordulás” → „néhány előfordulás”
Bartos | ♂ | A Bertalan ‣ név régi magyar Bartalom formájának - s kicsinyítőképzős rövidülése | | „néhány előfordulás” → „rendkívül ritka”
Bató | ♂ | Bizonytalan eredetű régi magyar név | parancsoló ; úr | „néhány előfordulás” → „rendkívül ritka”
Bátony | ♂ | Bizonytalan eredetű és jelentésű régi magyar személynév | | „néhány előfordulás” → „rendkívül ritka”
Bátor | ♂ | Török eredetű régi magyar személynév | hős | „nagyon ritka” → „elég ritka”
Batu | ♂ | Mongol eredetű név | uralkodó ; meghatározó | „néhány előfordulás” → „néhány előfordulás”
Batus | ♂ | Bizonytalan eredetű és jelentésű régi magyar személynév | | „néhány előfordulás” → „néhány előfordulás”
Bazil | ♂ | Görög eredetű név | királyi | „néhány előfordulás” → „néhány előfordulás”
Bazsó | ♂ | A Bazil ‣ név régi magyar becézőjéből önállósult | | „néhány előfordulás” → „nagyon ritka”
Becse | ♂ | Török eredetű régi magyar név | | „néhány előfordulás” → „rendkívül ritka”
Bedecs | ♂ | Régi magyar személynév | | „néhány előfordulás” → „néhány előfordulás”
Bedő | ♂ | Régi magyar személynév | | „néhány előfordulás” → „néhány előfordulás”
Beke | ♂ | Régi magyar személynév | | „néhány előfordulás” → „rendkívül ritka”
Bekény | ♂ | Régi magyar személynév ; Más feltevés szerint ótörök eredetű név | terméketlen ember | „néhány előfordulás” → „néhány előfordulás”
Bekes | ♂ | Régi magyar személynév | | „néhány előfordulás” → „rendkívül ritka”
Békés | ♂ | Régi magyar személynév | békés | „néhány előfordulás” → „néhány előfordulás”
Bekő | ♂ | Régi magyar személynév | | „néhány előfordulás” → „néhány előfordulás”
Béla | ♂ | Bizonytalan eredetű régi magyar személynév | belső rész ( pl . szív ) ; előkelő | „nagyon gyakori” → „elég ritka”
Belián | ♂ | Szláv eredetű régi magyar személynév | fehér | „nagyon ritka” → „elég ritka”
Belizár | ♂ | Bizonytalan eredetű név ; egy VI . századi bizánci hadvezér neve | | „néhány előfordulás” → „néhány előfordulás”
Ben | ♂ | Benedek ‣ és Benjamin ‣ nevek rövid alakja | | „rendkívül ritka” → „nagyon ritka”
Benája | ♂ | héber . A név a Bibliában több helyen előforduló férfinév . | :' Isten megépítette ; Jahve belátó , bölcs ' | „néhány előfordulás” → „néhány előfordulás”
Bence | ♂ | A latin Vincentius ( magyarul : Vince ‣ ) név régi magyar Bencenc alakjának a rövidülése | | „nagyon gyakori” → „első tízben”
Bende | ♂ | A Benedek ‣ becézőjéből önállósult | | „nagyon ritka” → „elég ritka”
Bendegúz | ♂ | Attila ‣ hun uralkodó atyjának a magyar krónikás hagyományok szerinti neve | Ismeretlen az eredete és a jelentése | „közepesen gyakori” → „közepesen gyakori”
Bendit | ♂ | Benedek ‣ név héberben ismert alakváltozata | | „néhány előfordulás” → „néhány előfordulás”
Bene | ♂ | A Benedek ‣ régi magyar becézőjéből önállósult | áldott | „rendkívül ritka” → „nagyon ritka”
Benedek | ♂ | A latin Benedictus névből származik | áldott | „közepesen gyakori” → „nagyon gyakori”
Benedikt | ♂ | Benediktusz ‣ rövidült alakváltozata | áldott | „rendkívül ritka” → „nagyon ritka”
Benediktusz | ♂ | A Bendek név eredeti latin formájának a magyar helyesírású változata | áldott | „néhány előfordulás” → „néhány előfordulás”
Benett | ♂ | Benedek ‣ angol alakváltozata . | áldott | „elég ritka” → „nagyon gyakori”
Béni | ♂ | A Benjámin ‣ név becéző rövidüléséből önállósult | | „rendkívül ritka” → „néhány előfordulás”
